,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ein,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue,org_name,HighestCompensatedEmployeeInd_percent_female,IndividualTrusteeOrDirectorInd_percent_female,OfficerInd_percent_female,KeyEmployeeInd_percent_female,FormerOfcrDirectorTrusteeInd_percent_female
10812,12460,29114,1085424,275379571.0,0.0,153564.0,100.0,100.0,0.0,33906.29838709677,153564.0,4357945.0,www.tahoeexpeditionacademy.org,125,6529637.0,Tahoe Expedition Academy Inc,40.0,75.0,33.33333333333333,,
10813,12462,29117,1085485,275410763.0,226795.0,204322.8,-10.998380993212708,71.42857142857143,28.57142857142857,97729.42592592593,248113.0,6752593.0,WWW.ISSNATIONALLAB.ORG,61,12704587.0,CENTER FOR THE ADVANCEMENT OFSCIENCE IN SPACE INC,20.0,27.27272727272727,20.0,,
10814,12463,29122,1086063,300017808.0,184362.0,175398.0,-5.110662607327336,33.33333333333333,66.66666666666666,57011.14814814815,191052.0,8240627.0,WWW.VIOLENCEINTERVENTIONPROGRAM.ORG,138,11938048.0,VIP COMMUNITY MENTAL HEALTH CENTER INC,40.0,66.66666666666666,50.0,100.0,
10815,12464,29125,1086217,300044814.0,0.0,160396.0,100.0,100.0,0.0,53352.72602739726,160396.0,4055145.0,WWW.THEPRAXISPROJECT.ORG,74,22557562.0,THE PRAXIS PROJECT INC,50.0,77.77777777777779,20.0,,
10817,12466,29133,1086612,300097872.0,0.0,171246.5,100.0,100.0,0.0,32412.05518763797,183604.0,15025154.0,HTTP://WWW.BUCKINGHAMHOUSTON.COM/,455,37036824.0,BUCKINGHAM SENIOR LIVING COMM-TAX,25.0,60.0,0.0,,
10818,12467,29139,1086697,300108119.0,0.0,346821.0,100.0,100.0,0.0,15022.453608247422,346821.0,1803999.0,WWW.RAINBOWHOUSING.ORG,98,5166412.0,RAINBOW HOUSING ASSISTANCE CORPORATION,,25.0,33.33333333333333,,
10819,12470,29157,1087641,300220949.0,262212.0,0.0,-1.0,0.0,100.0,20860.86592178771,262212.0,3996307.0,,180,5482035.0,FRETZPARK HOMES INC,,50.0,66.66666666666666,,
10821,12472,29165,1088500,300349221.0,217423.0,332680.0,34.64500420824817,25.0,75.0,52125.88888888889,332680.0,6145412.0,WWW.HCCNETWORK.ORG,103,10749967.0,HCC NETWORK,60.0,83.33333333333334,83.33333333333334,100.0,
10822,12474,29167,1088774,300396918.0,219806.0,332164.0,33.826061824881684,40.0,60.0,40157.5459770115,400100.0,8311159.0,WWW.THREESQUARE.ORG,179,112922372.0,THREE SQUARE,60.0,38.88888888888889,50.0,,
10823,12475,29171,1088919,300421837.0,256165.0,201591.0,-27.0716450635197,50.0,50.0,31654.33112582781,256165.0,5237560.0,www.theteenproject.com,153,10544756.0,The Teen Project Inc,,0.0,50.0,,
10827,12479,29188,1091746,300788260.0,128860.5,0.0,-1.0,0.0,100.0,44031.1125,132279.0,10825188.0,WWW.SPRINGS.ORG,242,16737664.0,EMPIRE SPRINGS CHARTER SCHOOL,,,50.0,,
10828,12480,29193,1091993,300833462.0,0.0,321661.71428571426,100.0,100.0,0.0,62988.63043478261,363893.0,5149109.0,WWW.TMT.ORG,53,25562706.0,TMT International Observatory LLC,0.0,18.75,25.0,,
10829,12481,29196,1092220,300871593.0,0.0,168579.0,100.0,100.0,0.0,30610.896551724138,168579.0,1944011.0,www.thesourcespokane.org,59,2764273.0,THE SOURCE OF SPOKANE,,50.0,33.33333333333333,,
10832,12484,29202,1092851,301011561.0,225000.0,0.0,-1.0,0.0,100.0,45445.045454545456,225000.0,3224373.0,,67,4283252.0,ON MY WATCH INC,100.0,,,,
10833,12485,29204,1094078,310263158.0,411494.0,397646.2,-3.482442432494008,62.5,37.5,76204.74521354934,537692.0,54965735.0,WWW.DAV.ORG,687,147448652.0,DISABLED AMERICAN VETERANS,40.0,0.0,28.57142857142857,0.0,
10834,12486,29205,1094091,310722194.0,165803.0,237690.3333333333,30.24411313880385,42.85714285714285,57.14285714285714,86723.41935483871,314808.0,6753135.0,WWW.ECS.ORG,69,12963804.0,EDUCATION COMMISSION OF THE STATES,80.0,57.14285714285714,60.0,,
